Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
1,V421 Peg,p,00 07 02.00,+22 50 40.03,F1V,1.5940,0.0290,1.5840,0.0280,4.241,0.017,7250,80,*,V421 Peg
2,V421 Peg,s,00 07 02.00,+22 50 40.03,F2V,1.3560,0.0290,1.3280,0.0290,4.324,0.021,6980,120,*,V421 Peg
3,V342 And B,p,00 10 03.68,+46 23 25.80,,1.2700,0.0100,1.2100,0.0100,4.377,0.008,6395,,*,HD 556B
4,V342 And B,s,00 10 03.68,+46 23 25.80,,1.2800,0.0100,1.2500,0.0100,4.352,0.008,6200,30,*,HD 556B
5,DV Psc,p,00 13 09.20,+05 35 43.06,K4V,0.6770,0.0190,0.6850,0.0300,4.598,0.040,4450,8,**,DV Psc
6,DV Psc,s,00 13 09.20,+05 35 43.06,M1V,0.4750,0.0100,0.5140,0.0200,4.693,0.035,3614,8,**,DV Psc
7,MU Cas,p,00 15 51.56,+60 25 53.64,B5V,4.6570,0.1000,4.1920,0.0500,3.862,0.014,14750,500,*,MU Cas
8,MU Cas,s,00 15 51.56,+60 25 53.64,B5V,4.5750,0.0900,3.6710,0.0400,3.969,0.013,15100,500,*,MU Cas
9,GSC 4019 3345,p,00 22 45.37,+62 20 05.50,A4V,1.9200,0.0100,1.7600,0.0500,4.231,0.025,8600,310,*,TYC 4019-3345-1
10,GSC 4019 3345,s,00 22 45.37,+62 20 05.50,A4V,1.9200,0.0100,1.7600,0.0500,4.231,0.025,8600,570,*,TYC 4019-3345-1
11,NGC 104 WSB V69,p,00 22 52.95,-72 03 40.68,G,0.8760,0.0050,1.3160,0.0050,4.142,0.004,5945,150,GLB,Cl* NGC 104 WSB V69
12,NGC 104 WSB V69,s,00 22 52.95,-72 03 40.68,G,0.8590,0.0060,1.1630,0.0060,4.241,0.005,5959,150,GLB,Cl* NGC 104 WSB V69
13,YZ Cas,p,00 45 39.08,+74 59 17.06,A2m,2.2630,0.0120,2.5250,0.0110,3.989,0.004,9520,120,*,YZ Cas
14,YZ Cas,s,00 45 39.08,+74 59 17.06,F2V,1.3250,0.0070,1.3310,0.0060,4.312,0.005,6880,240,*,YZ Cas
15,NGC188 KR V12,p,00 52 37.54,+85 10 34.65,G,1.1020,0.0070,1.4250,0.0190,4.173,0.012,5900,100,*,Cl* NGC 188 KS V12
16,NGC188 KR V12,s,00 52 37.54,+85 10 34.65,G,1.0800,0.0070,1.3740,0.0190,4.196,0.012,5875,100,*,Cl* NGC 188 KS V12
17,V364 Cas,p,00 52 43.01,+50 28 10.16,A7V,1.6840,0.1070,1.9700,0.0100,4.076,0.028,7816,86,***,V364 Cas
